VILLE;Code_postal;SUPERFICIE;POPULATION
NOGENT-SUR-SEINE;27800;562.0;191
NOGENT-SUR-SEINE;14100;1397.0;841
NOGENT-SUR-SEINE;27180;824.0;814
NOGENT-SUR-SEINE;27180;1002.0;5070
NOGENT-SUR-SEINE;27240;714.0;453
NOGENT-SUR-SEINE;27930;722.0;647
NOGENT-SUR-SEINE;76190;610.0;309
ROSIERES-PRES-TROYES;27210;1215.0;562
ROSIERES-PRES-TROYES;27680;536.0;239
ROSIERES-PRES-TROYES;76170;632.0;796
ROSIERES-PRES-TROYES;76133;565.0;2824
ROSIERES-PRES-TROYES;76170;1873.0;8122
ROSIERES-PRES-TROYES;27210;965.0;676
ROSIERES-PRES-TROYES;27500;1105.0;944
TROYES;76430;752.0;710
TROYES;76170;1006.0;2032
TROYES;76110;374.0;414
CARCASSONNE;76890;477.0;225
NARBONNE;76130;793.0;19798
NARBONNE;76690;813.0;433
NARBONNE;76380;1765.0;14781
NARBONNE;76570;1506.0;1467
NARBONNE;60240;861.0;447
NARBONNE;7210;706.0;283
NARBONNE;8230;1527.0;385
NARBONNE;36200;1010.0;751
NARBONNE;62150;557.0;337
NARBONNE;31370;579.0;62
NARBONNE;30770;2780.0;204
NARBONNE;37240;2210.0;234
NARBONNE;79170;820.0;211
NARBONNE;70200;872.0;282
NARBONNE;44360;3759.0;3294
NARBONNE;49250;2241.0;978
NARBONNE;47260;949.0;624
NARBONNE;36200;2531.0;482
NARBONNE;80200;1550.0;564
NARBONNE;80600;321.0;219
NARBONNE;42720;815.0;551
NARBONNE;20226;3019.0;88
NARBONNE;36100;2863.0;204
BERTHOLENE;80270;809.0;183
BERTHOLENE;59177;957.0;236
RODEZ;1250;638.0;92
AIX-EN-PROVENCE;40430;8704.0;147
AUBAGNE;33580;336.0;99
FUVEAU;67430;622.0;323
GARDANNE;41500;3321.0;689
ISTRES;45430;1725.0;2529
ISTRES;28150;3684.0;352
MARSEILLE;45130;2464.0;580
MARSEILLE;28800;989.0;325
MARSEILLE;41240;2814.0;1983
MARSEILLE;;1314.0;162
MARSEILLE;28200;2693.0;571
MARSEILLE;45400;774.0;3245
MARSEILLE;45410;2804.0;853
MARSEILLE;45310;951.0;136
MARSEILLE;28140;1514.0;184
MARSEILLE;45140;1233.0;1079
MARSEILLE;45140;1784.0;201
MARSEILLE;78720;1003.0;1641
MARSEILLE;78120;1731.0;805
MARSEILLE;28230;539.0;1267
MARSEILLE;28700;935.0;293
MARSEILLE;77940;2029.0;570
MARSEILLE;45260;785.0;245
MARSEILLE;45460;393.0;344
MARSEILLE;45110;3894.0;1695
MARSEILLE;45210;1067.0;241
MARSEILLE;45290;3377.0;472
MARSEILLE;77167;496.0;160
MARSEILLE;45200;2078.0;892
MARSEILLE;45700;916.0;353
MARSEILLE;77123;2987.0;1965
MARSEILLE;91690;1250.0;568
MARSEILLE;91150;859.0;1115
MARSEILLE;91720;1871.0;617
MARSEILLE;91150;600.0;205
MARSEILLE;91310;332.0;7201
MARSEILLE;91310;507.0;6585
MARSEILLE;91910;441.0;324
MARSEILLE;91450;869.0;6795
MARSEILLE;78117;403.0;1135
MARSEILLE;91360;439.0;10285
MARSEILLE;63340;351.0;242
MARSEILLE;18150;3562.0;1109
MARSEILLE;59496;533.0;2972
MARSEILLE;54610;391.0;229
MARSEILLE;62550;441.0;294
MARSEILLE;84190;901.0;1085
MARSEILLE;5800;1663.0;129
MARSEILLE;47200;1597.0;548
MARSEILLE;33140;2122.0;29804
MARSEILLE;58500;3086.0;4097
MARSEILLE;63720;890.0;552
MARSEILLE;30450;895.0;105
MARSEILLE;1140;862.0;663
MARSEILLE;59192;302.0;6696
MARSEILLE;2140;726.0;75
MARSEILLE;20140;1031.0;79
MARSEILLE;5250;18631.0;1013
MARSEILLE;5100;2828.0;12301
MARSEILLE;;1213.0;1320
MARSEILLE;30190;929.0;550
MARSEILLE;67600;1261.0;1961
MARSEILLE;40240;3297.0;247
MARSEILLE;68680;868.0;960
MARSEILLE;48190;662.0;71
MARSEILLE;29460;1254.0;219
MARSEILLE;86200;1488.0;521
MARSEILLE;55320;802.0;266
MARSEILLE;13170;3372.0;20279
MARSEILLE;16360;605.0;389
MARTIGUES;1120;1051.0;1502
SAINT-PAUL-LES-DURANCE;13105;1888.0;4536
SAINT-PAUL-LES-DURANCE;40360;2291.0;812
SAINT-PAUL-LES-DURANCE;20151;345.0;50
SAINT-PAUL-LES-DURANCE;68630;240.0;831
SAINT-PAUL-LES-DURANCE;2490;584.0;263
SAINT-PAUL-LES-DURANCE;65220;1421.0;212
SAINT-PAUL-LES-DURANCE;65100;243.0;42
SAINT-PAUL-LES-DURANCE;31480;410.0;343
SAINT-PAUL-LES-DURANCE;;797.0;335
SAINT-PAUL-LES-DURANCE;47400;2080.0;446
SAINT-PAUL-LES-DURANCE;36000;2546.0;44960
SAINT-PAUL-LES-DURANCE;57420;724.0;367
SAINT-PAUL-LES-DURANCE;62221;373.0;6803
SAINT-PAUL-LES-DURANCE;68480;738.0;223
SAINT-PAUL-LES-DURANCE;54740;563.0;108
SAINT-PAUL-LES-DURANCE;14230;428.0;220
SAINT-PAUL-LES-DURANCE;25170;492.0;532
SAINT-PAUL-LES-DURANCE;90300;462.0;5313
SAINT-PAUL-LES-DURANCE;46500;964.0;267
SAINT-PAUL-LES-DURANCE;6470;2799.0;73
SAINT-PAUL-LES-DURANCE;13630;2080.0;4178
SAINT-PAUL-LES-DURANCE;38730;844.0;858
SAINT-PAUL-LES-DURANCE;;680.0;425
SAINT-PAUL-LES-DURANCE;65250;435.0;99
SAINT-PAUL-LES-DURANCE;69430;554.0;103
SAINT-PAUL-LES-DURANCE;44117;2522.0;5607
SAINT-PAUL-LES-DURANCE;;320.0;182
SAINT-PAUL-LES-DURANCE;47340;671.0;188
SAINT-PAUL-LES-DURANCE;80800;817.0;345
